timestamp,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0010000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0020000000000002,0.003035240573808551,0.004046987276524305,0.00037483108462765813,0.0050587342120707035,2.1082366755131865e-11,0.00019339514255989343,1.594558489159681e-05,0.00014953104255255312,2.3424852335640622e-11,1.4054911748329069e-11,0.79085373878479,0.4942895770072937,0.006070481147617102,0.00022928642283659428,0.004046987276524305,0.0050587342120707035,0.003035240573808551
3.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0040000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.006,0.007534568198025227,0.008602503687143326,0.0006986333755776286,0.00707198167219758,0.8829165101051331,0.00034931846312247217,4.750309035017608e-09,0.0002619901788420975,0.9810183644294739,0.5886110663414001,0.003742404282093048,0.0023390045389533043,0.0012106983922421932,0.00043664436088874936,0.007736350875347853,0.008804285898804665,0.0006053491961210966
7.007000000000001,0.00035753901465795934,0.00040223353425972164,2.772137186468626e-09,0.0003128546813968569,0.8987478017807007,1.3860986802782804e-09,8.027123887463516e-14,1.039596631002837e-09,0.9986087083816528,0.5991652607917786,7.98240250787785e-07,4.989001922695024e-07,2.0279198764683315e-08,1.7325606505025348e-09,0.0003575424198061228,0.0004022369103040546,1.0139599382341657e-08
8.008000000000001,0.03282998502254486,0.04301447048783302,0.0006856985855847597,0.051833026111125946,0.0017532604979351163,0.00034295584191568196,2.841642015027901e-07,0.00025729683693498373,0.001948067219927907,0.0011688403319567442,0.010181598365306854,0.006363605614751577,0.058375053107738495,0.0004284728202037513,0.04255916178226471,0.05274364352226257,0.029187526553869247
9.009,3.4966178645845503e-06,4.428860847838223e-06,0.0019705360755324364,4.9411710278945975e-06,6.727736590050881e-09,0.0009852680377662182,2.7704765497254917e-14,0.0007389510865323246,7.475263075207295e-09,4.485158022760061e-09,4.760098454426043e-05,2.9750615794910118e-05,4.753593202622142e-06,0.0012315850472077727,4.288883246772457e-06,5.22112623002613e-06,2.376796601311071e-06
10.01,0.006329769268631935,0.0071210600435733795,1.20182812679559e-06,0.005538813304156065,0.8927975296974182,6.009145749885647e-07,1.3329048151669576e-12,4.506862865127914e-07,0.9919973015785217,0.595198392868042,1.2539020644908305e-05,7.83688847150188e-06,6.700456083308381e-07,7.511421244998928e-07,0.006329881027340889,0.007121171802282333,3.350228041654191e-07
11.011000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.014000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.016000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.019000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.022000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.025000000000002,0.0006441861623898149,0.0007965690456330776,5.856860298081301e-06,0.0008367295376956463,0.877281665802002,2.9619652650580974e-06,8.942688367596929e-08,2.246625399493496e-06,0.9747574329376221,0.5848544836044312,0.00026650354266166687,0.00016659825632814318,0.0006898525753058493,3.6325916425994365e-06,0.0007591616013087332,0.000911544484551996,0.00034492628765292466
