frame,timestamp,left_hand_velocity,right_hand_velocity,avg_hand_velocity,gesture_frequency_cumulative,face_touches_cumulative,smoothness_cumulative,current_smoothness_left,current_smoothness_right,hands_detected,face_detected,is_black_frame,gesture_change,face_touch
80,2.6693333333333333,0.0,0.0,0.0,0,0,1.0,1.0,1.0,True,False,False,False,False
460,15.348666666666666,5006.4304891976135,0.0,5006.4304891976135,0,0,1.0,1.0,1.0,True,False,False,False,False
470,15.682333333333334,407.27407407991126,0.0,407.27407407991126,0,0,1.0,1.0,1.0,True,False,False,False,False
480,16.016000000000002,0.0,0.0,0.0,0,0,1.0,1.0,1.0,True,False,False,False,False
490,16.349666666666668,0.0,309.2724071646869,309.2724071646869,0,0,1.0,1.0,1.0,True,False,False,False,False
500,16.683333333333334,0.0,97.81926352615457,97.81926352615457,0,0,1.0,1.0,1.0,True,False,False,False,False
510,17.017,0.0,28.89746928973614,28.89746928973614,0,0,0.9838849899491131,1.0,0.6776997989822615,True,False,False,False,False
600,20.02,0.0,0.0,0.0,0,0,0.9404037969828002,0.09814612057196728,1.0,True,False,False,False,False
800,26.693333333333335,13341.124077357199,0.0,13341.124077357199,0,0,0.8987426185982663,0.0475840262749245,1.0,True,False,False,False,False
810,27.027,2796.802294369441,0.0,2796.802294369441,0,0,0.8617536835656406,0.05770653654401787,1.0,True,False,False,False,False
840,28.028000000000002,0.0,0.0,0.0,0,0,0.8284814083252587,1.0,0.05806186232364165,True,False,False,False,False
850,28.361666666666668,0.0,0.0,0.0,0,0,0.7987840442600957,0.06301553534725694,1.0,True,False,False,False,False
860,28.695333333333334,0.0,0.0,0.0,0,0,0.7716210761046094,1.0,0.0543087254104638,True,False,False,False,False
1210,40.373666666666665,0.0,0.0,0.0,0,0,0.7477060365998913,0.06494136211485828,1.0,True,False,False,False,False
1220,40.70733333333333,0.0,0.0,0.0,0,0,0.7293622692947505,1.0,0.1285367270969652,True,False,False,False,False
1310,43.71033333333333,0.0,2884.047802831001,2884.047802831001,0,0,0.7115875115433785,1.0,0.1032293835620616,True,False,False,False,False
1360,45.37866666666667,0.0,309.69359802373486,309.69359802373486,0,0,0.6987269018379889,1.0,0.16596282897896428,True,False,False,False,False
1370,45.71233333333333,0.0,285.29324593517316,285.29324593517316,0,0,0.6860543572499282,1.0,0.14400291191476208,True,False,False,False,False
1380,46.046,0.0,96.91980503125185,96.91980503125185,0,0,0.6764942180130622,1.0,0.1809059297625351,True,False,False,False,False
1390,46.379666666666665,0.0,101.5781912331908,101.5781912331908,0,0,0.6904891697661217,1.0,0.6328874710873142,True,False,False,False,False
1400,46.71333333333333,0.0,41.38718424432732,41.38718424432732,0,0,0.7071763663276655,1.0,0.7147222707631179,True,False,False,False,False
1410,47.047000000000004,0.0,174.28113974922883,174.28113974922883,0,0,0.7276469378394005,1.0,0.8237641628900314,True,False,False,False,False
1420,47.38066666666667,0.0,191.57784152475978,191.57784152475978,0,0,0.7429297233869573,1.0,0.7609495866299365,True,False,False,False,False
1430,47.714333333333336,0.0,30.341503675569005,30.341503675569005,0,0,0.7535287313689912,1.0,0.6978396064145925,True,False,False,False,False
1440,48.048,0.0,38.427035872229204,38.427035872229204,0,0,0.7616062313146396,1.0,0.668607461650949,True,False,False,False,False
1450,48.38166666666667,0.0,14.554073108585117,14.554073108585117,0,0,0.774451875445251,1.0,0.7801253452415078,True,False,False,False,False
1460,48.715333333333334,0.0,26.813606719075185,26.813606719075185,0,0,0.7948209192397391,1.0,0.9562846267802644,True,False,False,False,False
1470,49.049,0.0,19.826522034322693,19.826522034322693,0,0,0.813968857448184,1.0,0.9726006026483787,True,False,False,False,False
1480,49.382666666666665,0.0,29.69694883214415,29.69694883214415,0,0,0.8319007754846156,1.0,0.9865760756249999,True,False,False,False,False
1490,49.71633333333333,0.0,123.52838594766457,123.52838594766457,0,0,0.8423831940179826,1.0,0.8734499216365696,True,False,False,False,False
1500,50.050000000000004,0.0,81.79665980252246,81.79665980252246,0,0,0.8488948489886862,1.0,0.8149994874500378,True,False,False,False,False
1510,50.38366666666667,0.0,76.29551251390654,76.29551251390654,0,0,0.8575834997232104,1.0,0.871562712667855,True,False,False,False,False
1520,50.717333333333336,0.0,92.92890307463608,92.92890307463608,0,0,0.8681636237158631,1.0,0.9267694792994742,True,False,False,False,False
1530,51.051,0.0,68.33920304731168,68.33920304731168,0,0,0.8798041014786039,1.0,0.9691368026865425,True,False,False,False,False
1540,51.38466666666667,0.0,62.59943542018376,62.59943542018376,0,0,0.8896833249134317,1.0,0.9571926716537658,True,False,False,False,False
1550,51.718333333333334,0.0,35.792596557683076,35.792596557683076,0,0,0.8975931478611067,1.0,0.9375631087803615,True,False,False,False,False
1560,52.052,0.0,173.39068910829144,173.39068910829144,0,0,0.8988179892652701,1.0,0.8196831238054834,True,False,False,False,False
1570,52.385666666666665,0.0,88.35625341609285,88.35625341609285,0,0,0.8982279811933354,1.0,0.785835817091845,True,False,False,False,False
1580,52.71933333333333,0.0,86.6689108074139,86.6689108074139,0,0,0.8991634686585062,1.0,0.8151657116900852,True,False,False,False,False
