frame,timestamp,left_hand_velocity,right_hand_velocity,avg_hand_velocity,gesture_frequency_cumulative,face_touches_cumulative,smoothness_cumulative,current_smoothness_left,current_smoothness_right,hands_detected,face_detected,is_black_frame,gesture_change,face_touch
920,30.697333333333333,0.0,0.0,0.0,0,0,1.0,1.0,1.0,True,False,False,False,False
960,32.032000000000004,0.0,0.0,0.0,0,0,1.0,1.0,1.0,True,False,False,False,False
970,32.36566666666667,196.81142418529134,0.0,196.81142418529134,0,0,1.0,1.0,1.0,True,False,False,False,False
980,32.699333333333335,97.40194394606247,0.0,97.40194394606247,0,0,1.0,1.0,1.0,True,False,False,False,False
990,33.033,0.0,0.0,0.0,0,0,1.0,1.0,1.0,True,False,False,False,False
1200,40.04,0.0,0.0,0.0,0,0,0.955109287355866,0.10218574711731931,1.0,True,False,False,False,False
1210,40.373666666666665,385.9574448409943,0.0,385.9574448409943,0,0,0.918109783511582,0.17022849782605054,1.0,True,False,False,False,False
1220,40.70733333333333,145.26758590093218,0.0,145.26758590093218,0,0,0.8859937112565831,0.19389812192318556,1.0,True,False,False,False,False
1240,41.37466666666667,3627.2213329983147,0.0,3627.2213329983147,0,0,0.8523529607614971,0.0991724126114466,1.0,True,False,False,False,False
1250,41.708333333333336,1554.7759428064087,0.0,1554.7759428064087,0,0,0.8228260538865974,0.11416778402499667,1.0,True,False,False,False,False
1830,61.061,3927.256809507575,0.0,3927.256809507575,0,0,0.8035234187146687,0.25959940433462053,1.0,True,True,False,False,False
2490,83.083,4779.183821973152,0.0,4779.183821973152,0,0,0.7855554382807011,0.24768722874998636,1.0,True,False,False,False,False
2500,83.41666666666667,0.0,0.0,0.0,0,0,0.806999894452631,1.0,1.0,True,False,False,False,False
3020,100.76733333333334,0.0,0.0,0.0,0,0,0.7858390007846167,0.1907819155449762,1.0,True,True,False,False,False
3030,101.101,1082.345698303976,0.0,1082.345698303976,0,0,0.7628905833440965,0.1127096527588303,1.0,True,True,False,False,False
3040,101.43466666666667,665.3186855349501,0.0,665.3186855349501,0,0,0.7397730128807818,0.06342975742189813,1.0,True,True,False,False,False
3050,101.76833333333333,437.41681296061523,0.0,437.41681296061523,0,0,0.7208393712826019,0.10087319379796342,1.0,True,True,False,False,False
3060,102.102,656.2458839369856,0.0,656.2458839369856,0,0,0.736330766131746,0.7515066395480869,1.0,True,True,False,False,False
3070,102.43566666666666,0.0,0.0,0.0,0,0,0.7285094950253947,1.0,0.31623611013646563,True,True,False,False,False
3080,102.76933333333334,0.0,825.479302141568,825.479302141568,0,0,0.7171422977309064,1.0,0.22967504416102286,True,True,False,False,False
3090,103.10300000000001,0.0,3438.5663666895757,3438.5663666895757,0,0,0.7052180413583762,1.0,0.19579946801120837,True,True,False,False,False
3100,103.43666666666667,0.0,1242.6198635127732,1242.6198635127732,0,0,0.6988592786170622,1.0,0.28326082789047374,True,True,False,False,False
3330,111.111,0.0,3972.325050188052,3972.325050188052,0,0,0.6983051142724559,1.0,0.38663527034199924,True,True,False,False,False
3630,121.121,0.0,2896.534795795828,2896.534795795828,0,0,0.6892278256358964,1.0,0.21506445581372136,True,True,False,False,False
3640,121.45466666666667,0.0,0.0,0.0,0,0,0.7090790608644364,0.7754803558425947,1.0,True,True,False,False,False
3980,132.79933333333332,2332.713499389452,0.0,2332.713499389452,0,0,0.7004522634693567,0.24562217382727852,1.0,True,False,False,False,False
4440,148.148,1894.80587409303,0.0,1894.80587409303,0,0,0.6445255215847568,0.1679562714009503,0.11441341784576482,True,True,False,False,False
4450,148.48166666666668,0.0,422.54317647465757,422.54317647465757,0,0,0.6350193531581454,1.0,0.09892767463728445,True,True,False,False,False
